n,x_q31_in,y_float,y_fixed,err
772,4.3208331754e-01,4.3208331754e-01,4.3208331754e-01,0.0000000000e+00
773,4.3137204507e-01,4.3137204507e-01,4.3137204507e-01,0.0000000000e+00
774,4.3065727316e-01,4.3065727316e-01,4.3065727316e-01,0.0000000000e+00
775,4.2993900646e-01,4.2993900646e-01,4.2993900646e-01,0.0000000000e+00
776,4.2921724916e-01,4.2921724916e-01,4.2921724916e-01,0.0000000000e+00
777,4.2849200591e-01,4.2849200591e-01,4.2849200591e-01,0.0000000000e+00
778,4.2776328232e-01,4.2776328232e-01,4.2776328232e-01,0.0000000000e+00
779,4.2703108257e-01,4.2703108257e-01,4.2703108257e-01,0.0000000000e+00
780,4.2629541131e-01,4.2629541131e-01,4.2629541131e-01,0.0000000000e+00
781,4.2555627413e-01,4.2555627413e-01,4.2555627413e-01,0.0000000000e+00
782,4.2481367523e-01,4.2481367523e-01,4.2481367523e-01,0.0000000000e+00
783,4.2406762019e-01,4.2406762019e-01,4.2406762019e-01,0.0000000000e+00
784,4.2331811367e-01,4.2331811367e-01,4.2331811367e-01,0.0000000000e+00
785,4.2256516032e-01,4.2256516032e-01,4.2256516032e-01,0.0000000000e+00
786,4.2180876574e-01,4.2180876574e-01,4.2180876574e-01,0.0000000000e+00
787,4.2104893457e-01,4.2104893457e-01,4.2104893457e-01,0.0000000000e+00
788,4.2028567195e-01,4.2028567195e-01,4.2028567195e-01,0.0000000000e+00
789,4.1951898346e-01,4.1951898346e-01,4.1951898346e-01,0.0000000000e+00
790,4.1874887375e-01,4.1874887375e-01,4.1874887375e-01,0.0000000000e+00
791,4.1797534795e-01,4.1797534795e-01,4.1797534795e-01,0.0000000000e+00
792,4.1719841119e-01,4.1719841119e-01,4.1719841119e-01,0.0000000000e+00
793,4.1641806951e-01,4.1641806951e-01,4.1641806951e-01,0.0000000000e+00
794,4.1563432710e-01,4.1563432710e-01,4.1563432710e-01,0.0000000000e+00
795,4.1484719003e-01,4.1484719003e-01,4.1484719003e-01,0.0000000000e+00
796,4.1405666294e-01,4.1405666294e-01,4.1405666294e-01,0.0000000000e+00
797,4.1326275188e-01,4.1326275188e-01,4.1326275188e-01,0.0000000000e+00
798,4.1246546200e-01,4.1246546200e-01,4.1246546200e-01,0.0000000000e+00
799,4.1166479839e-01,4.1166479839e-01,4.1166479839e-01,0.0000000000e+00
800,4.1086076712e-01,4.1086076712e-01,4.1086076712e-01,0.0000000000e+00
801,4.1005337285e-01,4.1005337285e-01,4.1005337285e-01,0.0000000000e+00
802,4.0924262162e-01,4.0924262162e-01,4.0924262162e-01,0.0000000000e+00
803,4.0842851903e-01,4.0842851903e-01,4.0842851903e-01,0.0000000000e+00
804,4.0761107020e-01,4.0761107020e-01,4.0761107020e-01,0.0000000000e+00
805,4.0679028118e-01,4.0679028118e-01,4.0679028118e-01,0.0000000000e+00
806,4.0596615709e-01,4.0596615709e-01,4.0596615709e-01,0.0000000000e+00
807,4.0513870446e-01,4.0513870446e-01,4.0513870446e-01,0.0000000000e+00
808,4.0430792794e-01,4.0430792794e-01,4.0430792794e-01,0.0000000000e+00
809,4.0347383358e-01,4.0347383358e-01,4.0347383358e-01,0.0000000000e+00
810,4.0263642743e-01,4.0263642743e-01,4.0263642743e-01,0.0000000000e+00
811,4.0179571509e-01,4.0179571509e-01,4.0179571509e-01,0.0000000000e+00
812,4.0095170215e-01,4.0095170215e-01,4.0095170215e-01,0.0000000000e+00
813,4.0010439465e-01,4.0010439465e-01,4.0010439465e-01,0.0000000000e+00
814,3.9925379865e-01,3.9925379865e-01,3.9925379865e-01,0.0000000000e+00
815,3.9839991974e-01,3.9839991974e-01,3.9839991974e-01,0.0000000000e+00
816,3.9754276350e-01,3.9754276350e-01,3.9754276350e-01,0.0000000000e+00
817,3.9668233646e-01,3.9668233646e-01,3.9668233646e-01,0.0000000000e+00
818,3.9581864467e-01,3.9581864467e-01,3.9581864467e-01,0.0000000000e+00
819,3.9495169325e-01,3.9495169325e-01,3.9495169325e-01,0.0000000000e+00
820,3.9408148918e-01,3.9408148918e-01,3.9408148918e-01,0.0000000000e+00
821,3.9320803853e-01,3.9320803853e-01,3.9320803853e-01,0.0000000000e+00
822,3.9233134640e-01,3.9233134640e-01,3.9233134640e-01,0.0000000000e+00
823,3.9145141980e-01,3.9145141980e-01,3.9145141980e-01,0.0000000000e+00
824,3.9056826476e-01,3.9056826476e-01,3.9056826476e-01,0.0000000000e+00
825,3.8968188688e-01,3.8968188688e-01,3.8968188688e-01,0.0000000000e+00
826,3.8879229315e-01,3.8879229315e-01,3.8879229315e-01,0.0000000000e+00
827,3.8789948961e-01,3.8789948961e-01,3.8789948961e-01,0.0000000000e+00
828,3.8700348232e-01,3.8700348232e-01,3.8700348232e-01,0.0000000000e+00
829,3.8610427734e-01,3.8610427734e-01,3.8610427734e-01,0.0000000000e+00
830,3.8520188117e-01,3.8520188117e-01,3.8520188117e-01,0.0000000000e+00
831,3.8429630082e-01,3.8429630082e-01,3.8429630082e-01,0.0000000000e+00
832,3.8338754186e-01,3.8338754186e-01,3.8338754186e-01,0.0000000000e+00
833,3.8247561082e-01,3.8247561082e-01,3.8247561082e-01,0.0000000000e+00
834,3.8156051468e-01,3.8156051468e-01,3.8156051468e-01,0.0000000000e+00
835,3.8064225903e-01,3.8064225903e-01,3.8064225903e-01,0.0000000000e+00
836,3.7972085085e-01,3.7972085085e-01,3.7972085085e-01,0.0000000000e+00
837,3.7879629713e-01,3.7879629713e-01,3.7879629713e-01,0.0000000000e+00
838,3.7786860345e-01,3.7786860345e-01,3.7786860345e-01,0.0000000000e+00
839,3.7693777727e-01,3.7693777727e-01,3.7693777727e-01,0.0000000000e+00
840,3.7600382464e-01,3.7600382464e-01,3.7600382464e-01,0.0000000000e+00
841,3.7506675255e-01,3.7506675255e-01,3.7506675255e-01,0.0000000000e+00
842,3.7412656751e-01,3.7412656751e-01,3.7412656751e-01,0.0000000000e+00
843,3.7318327604e-01,3.7318327604e-01,3.7318327604e-01,0.0000000000e+00
844,3.7223688513e-01,3.7223688513e-01,3.7223688513e-01,0.0000000000e+00
845,3.7128740130e-01,3.7128740130e-01,3.7128740130e-01,0.0000000000e+00
846,3.7033483200e-01,3.7033483200e-01,3.7033483200e-01,0.0000000000e+00
847,3.6937918281e-01,3.6937918281e-01,3.6937918281e-01,0.0000000000e+00
848,3.6842046166e-01,3.6842046166e-01,3.6842046166e-01,0.0000000000e+00
849,3.6745867506e-01,3.6745867506e-01,3.6745867506e-01,0.0000000000e+00
850,3.6649382953e-01,3.6649382953e-01,3.6649382953e-01,0.0000000000e+00
851,3.6552593298e-01,3.6552593298e-01,3.6552593298e-01,0.0000000000e+00
852,3.6455499101e-01,3.6455499101e-01,3.6455499101e-01,0.0000000000e+00
853,3.6358101154e-01,3.6358101154e-01,3.6358101154e-01,0.0000000000e+00
854,3.6260400154e-01,3.6260400154e-01,3.6260400154e-01,0.0000000000e+00
855,3.6162396800e-01,3.6162396800e-01,3.6162396800e-01,0.0000000000e+00
856,3.6064091744e-01,3.6064091744e-01,3.6064091744e-01,0.0000000000e+00
857,3.5965485778e-01,3.5965485778e-01,3.5965485778e-01,0.0000000000e+00
858,3.5866579507e-01,3.5866579507e-01,3.5866579507e-01,0.0000000000e+00
859,3.5767373769e-01,3.5767373769e-01,3.5767373769e-01,0.0000000000e+00
860,3.5667869216e-01,3.5667869216e-01,3.5667869216e-01,0.0000000000e+00
861,3.5568066547e-01,3.5568066547e-01,3.5568066547e-01,0.0000000000e+00
862,3.5467966553e-01,3.5467966553e-01,3.5467966553e-01,0.0000000000e+00
863,3.5367569886e-01,3.5367569886e-01,3.5367569886e-01,0.0000000000e+00
864,3.5266877292e-01,3.5266877292e-01,3.5266877292e-01,0.0000000000e+00
865,3.5165889561e-01,3.5165889561e-01,3.5165889561e-01,0.0000000000e+00
866,3.5064607393e-01,3.5064607393e-01,3.5064607393e-01,0.0000000000e+00
867,3.4963031486e-01,3.4963031486e-01,3.4963031486e-01,0.0000000000e+00
868,3.4861162631e-01,3.4861162631e-01,3.4861162631e-01,0.0000000000e+00
869,3.4759001527e-01,3.4759001527e-01,3.4759001527e-01,0.0000000000e+00
870,3.4656548966e-01,3.4656548966e-01,3.4656548966e-01,0.0000000000e+00
871,3.4553805646e-01,3.4553805646e-01,3.4553805646e-01,0.0000000000e+00
872,3.4450772358e-01,3.4450772358e-01,3.4450772358e-01,0.0000000000e+00
873,3.4347449848e-01,3.4347449848e-01,3.4347449848e-01,0.0000000000e+00
874,3.4243838862e-01,3.4243838862e-01,3.4243838862e-01,0.0000000000e+00
875,3.4139940189e-01,3.4139940189e-01,3.4139940189e-01,0.0000000000e+00
876,3.4035754530e-01,3.4035754530e-01,3.4035754530e-01,0.0000000000e+00
877,3.3931282721e-01,3.3931282721e-01,3.3931282721e-01,0.0000000000e+00
878,3.3826525463e-01,3.3826525463e-01,3.3826525463e-01,0.0000000000e+00
879,3.3721483545e-01,3.3721483545e-01,3.3721483545e-01,0.0000000000e+00
880,3.3616157807e-01,3.3616157807e-01,3.3616157807e-01,0.0000000000e+00
881,3.3510548901e-01,3.3510548901e-01,3.3510548901e-01,0.0000000000e+00
882,3.3404657710e-01,3.3404657710e-01,3.3404657710e-01,0.0000000000e+00
883,3.3298484981e-01,3.3298484981e-01,3.3298484981e-01,0.0000000000e+00
884,3.3192031458e-01,3.3192031458e-01,3.3192031458e-01,0.0000000000e+00
885,3.3085297979e-01,3.3085297979e-01,3.3085297979e-01,0.0000000000e+00
886,3.2978285290e-01,3.2978285290e-01,3.2978285290e-01,0.0000000000e+00
887,3.2870994275e-01,3.2870994275e-01,3.2870994275e-01,0.0000000000e+00
888,3.2763425587e-01,3.2763425587e-01,3.2763425587e-01,0.0000000000e+00
889,3.2655580109e-01,3.2655580109e-01,3.2655580109e-01,0.0000000000e+00
890,3.2547458680e-01,3.2547458680e-01,3.2547458680e-01,0.0000000000e+00
891,3.2439061999e-01,3.2439061999e-01,3.2439061999e-01,0.0000000000e+00
892,3.2330390904e-01,3.2330390904e-01,3.2330390904e-01,0.0000000000e+00
893,3.2221446279e-01,3.2221446279e-01,3.2221446279e-01,0.0000000000e+00
894,3.2112228824e-01,3.2112228824e-01,3.2112228824e-01,0.0000000000e+00
895,3.2002739422e-01,3.2002739422e-01,3.2002739422e-01,0.0000000000e+00
896,3.1892978866e-01,3.1892978866e-01,3.1892978866e-01,0.0000000000e+00
897,3.1782947946e-01,3.1782947946e-01,3.1782947946e-01,0.0000000000e+00
898,3.1672647549e-01,3.1672647549e-01,3.1672647549e-01,0.0000000000e+00
899,3.1562078418e-01,3.1562078418e-01,3.1562078418e-01,0.0000000000e+00
900,3.1451241439e-01,3.1451241439e-01,3.1451241439e-01,0.0000000000e+00
901,3.1340137450e-01,3.1340137450e-01,3.1340137450e-01,0.0000000000e+00
902,3.1228767242e-01,3.1228767242e-01,3.1228767242e-01,0.0000000000e+00
903,3.1117131608e-01,3.1117131608e-01,3.1117131608e-01,0.0000000000e+00
904,3.1005231477e-01,3.1005231477e-01,3.1005231477e-01,0.0000000000e+00
905,3.0893067643e-01,3.0893067643e-01,3.0893067643e-01,0.0000000000e+00
906,3.0780640943e-01,3.0780640943e-01,3.0780640943e-01,0.0000000000e+00
907,3.0667952262e-01,3.0667952262e-01,3.0667952262e-01,0.0000000000e+00
908,3.0555002345e-01,3.0555002345e-01,3.0555002345e-01,0.0000000000e+00
909,3.0441792170e-01,3.0441792170e-01,3.0441792170e-01,0.0000000000e+00
910,3.0328322481e-01,3.0328322481e-01,3.0328322481e-01,0.0000000000e+00
911,3.0214594211e-01,3.0214594211e-01,3.0214594211e-01,0.0000000000e+00
912,3.0100608151e-01,3.0100608151e-01,3.0100608151e-01,0.0000000000e+00
913,2.9986365233e-01,2.9986365233e-01,2.9986365233e-01,0.0000000000e+00
914,2.9871866247e-01,2.9871866247e-01,2.9871866247e-01,0.0000000000e+00
915,2.9757112078e-01,2.9757112078e-01,2.9757112078e-01,0.0000000000e+00
916,2.9642103612e-01,2.9642103612e-01,2.9642103612e-01,0.0000000000e+00
917,2.9526841687e-01,2.9526841687e-01,2.9526841687e-01,0.0000000000e+00
918,2.9411327187e-01,2.9411327187e-01,2.9411327187e-01,0.0000000000e+00
919,2.9295561044e-01,2.9295561044e-01,2.9295561044e-01,0.0000000000e+00
920,2.9179544048e-01,2.9179544048e-01,2.9179544048e-01,0.0000000000e+00
921,2.9063277133e-01,2.9063277133e-01,2.9063277133e-01,0.0000000000e+00
922,2.8946761135e-01,2.8946761135e-01,2.8946761135e-01,0.0000000000e+00
923,2.8829996986e-01,2.8829996986e-01,2.8829996986e-01,0.0000000000e+00
924,2.8712985525e-01,2.8712985525e-01,2.8712985525e-01,0.0000000000e+00
925,2.8595727682e-01,2.8595727682e-01,2.8595727682e-01,0.0000000000e+00
926,2.8478224343e-01,2.8478224343e-01,2.8478224343e-01,0.0000000000e+00
927,2.8360476391e-01,2.8360476391e-01,2.8360476391e-01,0.0000000000e+00
928,2.8242484713e-01,2.8242484713e-01,2.8242484713e-01,0.0000000000e+00
929,2.8124250239e-01,2.8124250239e-01,2.8124250239e-01,0.0000000000e+00
930,2.8005773807e-01,2.8005773807e-01,2.8005773807e-01,0.0000000000e+00
