x,y
2.2212326197e-01,2.2212326154e-01
2.2159799928e-01,2.2159799887e-01
2.2107090321e-01,2.2107090289e-01
2.2054197749e-01,2.2054197732e-01
2.2001122584e-01,2.2001122544e-01
2.1947865204e-01,2.1947865188e-01
2.1894425984e-01,2.1894425945e-01
2.1840805303e-01,2.1840805281e-01
2.1787003543e-01,2.1787003521e-01
2.1733021085e-01,2.1733021084e-01
2.1678858313e-01,2.1678858297e-01
2.1624515613e-01,2.1624515578e-01
2.1569993370e-01,2.1569993347e-01
2.1515291975e-01,2.1515291929e-01
2.1460411818e-01,2.1460411791e-01
2.1405353290e-01,2.1405353257e-01
2.1350116785e-01,2.1350116748e-01
2.1294702698e-01,2.1294702683e-01
2.1239111427e-01,2.1239111386e-01
2.1183343370e-01,2.1183343325e-01
2.1127398928e-01,2.1127398917e-01
2.1071278501e-01,2.1071278490e-01
2.1014982493e-01,2.1014982462e-01
2.0958511310e-01,2.0958511299e-01
2.0901865358e-01,2.0901865326e-01
2.0845045045e-01,2.0845045010e-01
2.0788050782e-01,2.0788050769e-01
2.0730882980e-01,2.0730882976e-01
2.0673542052e-01,2.0673542051e-01
2.0616028413e-01,2.0616028411e-01
2.0558342479e-01,2.0558342477e-01
2.0500484668e-01,2.0500484668e-01
2.0442455400e-01,2.0442455355e-01
2.0384255096e-01,2.0384255052e-01
2.0325884179e-01,2.0325884176e-01
2.0267343073e-01,2.0267343055e-01
2.0208632205e-01,2.0208632201e-01
2.0149752001e-01,2.0149751985e-01
2.0090702891e-01,2.0090702875e-01
2.0031485306e-01,2.0031485287e-01
1.9972099678e-01,1.9972099643e-01
1.9912546442e-01,1.9912546407e-01
1.9852826031e-01,1.9852825999e-01
1.9792938884e-01,1.9792938838e-01
1.9732885440e-01,1.9732885435e-01
1.9672666138e-01,1.9672666118e-01
1.9612281420e-01,1.9612281397e-01
1.9551731730e-01,1.9551731693e-01
1.9491017512e-01,1.9491017470e-01
1.9430139214e-01,1.9430139195e-01
1.9369097283e-01,1.9369097240e-01
1.9307892168e-01,1.9307892164e-01
1.9246524322e-01,1.9246524293e-01
1.9184994196e-01,1.9184994185e-01
1.9123302245e-01,1.9123302214e-01
1.9061448924e-01,1.9061448891e-01
1.8999434692e-01,1.8999434682e-01
1.8937260007e-01,1.8937260006e-01
1.8874925329e-01,1.8874925328e-01
1.8812431121e-01,1.8812431116e-01
1.8749777845e-01,1.8749777833e-01
1.8686965967e-01,1.8686965946e-01
1.8623995954e-01,1.8623995921e-01
1.8560868273e-01,1.8560868269e-01
1.8497583395e-01,1.8497583363e-01
1.8434141789e-01,1.8434141763e-01
1.8370543930e-01,1.8370543886e-01
1.8306790290e-01,1.8306790246e-01
1.8242881346e-01,1.8242881307e-01
1.8178817575e-01,1.8178817537e-01
1.8114599455e-01,1.8114599446e-01
1.8050227467e-01,1.8050227454e-01
1.7985702093e-01,1.7985702073e-01
1.7921023815e-01,1.7921023769e-01
1.7856193117e-01,1.7856193101e-01
1.7791210488e-01,1.7791210487e-01
1.7726076412e-01,1.7726076394e-01
1.7660791381e-01,1.7660791380e-01
1.7595355885e-01,1.7595355865e-01
1.7529770415e-01,1.7529770406e-01
1.7464035465e-01,1.7464035423e-01
1.7398151530e-01,1.7398151523e-01
1.7332119106e-01,1.7332119076e-01
1.7265938692e-01,1.7265938688e-01
1.7199610787e-01,1.7199610779e-01
1.7133135892e-01,1.7133135861e-01
1.7066514509e-01,1.7066514492e-01
1.6999747141e-01,1.6999747138e-01
1.6932834294e-01,1.6932834266e-01
1.6865776475e-01,1.6865776433e-01
1.6798574191e-01,1.6798574151e-01
1.6731227953e-01,1.6731227934e-01
1.6663738271e-01,1.6663738247e-01
1.6596105657e-01,1.6596105648e-01
1.6528330625e-01,1.6528330604e-01
1.6460413691e-01,1.6460413672e-01
1.6392355372e-01,1.6392355366e-01
1.6324156184e-01,1.6324156150e-01
1.6255816648e-01,1.6255816631e-01
1.6187337285e-01,1.6187337274e-01
1.6118718616e-01,1.6118718591e-01
1.6049961167e-01,1.6049961140e-01
1.5981065461e-01,1.5981065435e-01
1.5912032025e-01,1.5912031988e-01
1.5842861387e-01,1.5842861356e-01
1.5773554077e-01,1.5773554053e-01
1.5704110625e-01,1.5704110591e-01
1.5634531563e-01,1.5634531528e-01
1.5564817425e-01,1.5564817423e-01
1.5494968745e-01,1.5494968742e-01
1.5424986059e-01,1.5424986044e-01
1.5354869906e-01,1.5354869887e-01
1.5284620824e-01,1.5284620784e-01
1.5214239353e-01,1.5214239340e-01
1.5143726035e-01,1.5143726021e-01
1.5073081413e-01,1.5073081385e-01
1.5002306031e-01,1.5002305992e-01
1.4931400435e-01,1.4931400400e-01
1.4860365173e-01,1.4860365167e-01
1.4789200791e-01,1.4789200760e-01
1.4717907841e-01,1.4717907831e-01
1.4646486873e-01,1.4646486845e-01
1.4574938440e-01,1.4574938407e-01
1.4503263095e-01,1.4503263077e-01
1.4431461393e-01,1.4431461366e-01
1.4359533890e-01,1.4359533880e-01
1.4287481145e-01,1.4287481131e-01
1.4215303716e-01,1.4215303678e-01
1.4143002163e-01,1.4143002126e-01
1.4070577049e-01,1.4070577035e-01
1.3998028935e-01,1.3998028915e-01
1.3925358386e-01,1.3925358374e-01
1.3852565968e-01,1.3852565922e-01
1.3779652247e-01,1.3779652212e-01
1.3706617791e-01,1.3706617756e-01
1.3633463170e-01,1.3633463159e-01
1.3560188954e-01,1.3560188934e-01
1.3486795714e-01,1.3486795686e-01
1.3413284025e-01,1.3413284020e-01
1.3339654460e-01,1.3339654449e-01
1.3265907596e-01,1.3265907578e-01
1.3192044008e-01,1.3192043966e-01
1.3118064275e-01,1.3118064264e-01
1.3043968977e-01,1.3043968938e-01
1.2969758693e-01,1.2969758688e-01
1.2895434007e-01,1.2895433977e-01
1.2820995501e-01,1.2820995459e-01
1.2746443759e-01,1.2746443739e-01
1.2671779367e-01,1.2671779329e-01
1.2597002912e-01,1.2597002881e-01
1.2522114981e-01,1.2522114953e-01
1.2447116164e-01,1.2447116151e-01
1.2372007052e-01,1.2372007035e-01
1.2296788236e-01,1.2296788208e-01
1.2221460308e-01,1.2221460277e-01
1.2146023863e-01,1.2146023847e-01
1.2070479496e-01,1.2070479477e-01
1.1994827804e-01,1.1994827772e-01
1.1919069384e-01,1.1919069383e-01
1.1843204834e-01,1.1843204824e-01
1.1767234756e-01,1.1767234746e-01
1.1691159749e-01,1.1691159708e-01
1.1614980416e-01,1.1614980409e-01
1.1538697361e-01,1.1538697360e-01
1.1462311188e-01,1.1462311167e-01
1.1385822503e-01,1.1385822482e-01
1.1309231913e-01,1.1309231911e-01
1.1232540026e-01,1.1232540011e-01
1.1155747451e-01,1.1155747436e-01
1.1078854799e-01,1.1078854790e-01
1.1001862680e-01,1.1001862679e-01
1.0924771709e-01,1.0924771708e-01
1.0847582497e-01,1.0847582482e-01
1.0770295661e-01,1.0770295653e-01
1.0692911815e-01,1.0692911781e-01
1.0615431578e-01,1.0615431564e-01
1.0537855568e-01,1.0537855560e-01
1.0460184402e-01,1.0460184375e-01
1.0382418703e-01,1.0382418660e-01
1.0304559092e-01,1.0304559069e-01
1.0226606190e-01,1.0226606159e-01
1.0148560622e-01,1.0148560582e-01
1.0070423012e-01,1.0070422990e-01
9.9921939870e-02,9.9921939429e-02
9.9138741726e-02,9.9138741381e-02
9.8354641971e-02,9.8354641814e-02
9.7569646895e-02,9.7569646779e-02
9.6783762799e-02,9.6783762798e-02
9.5996995994e-02,9.5996995922e-02
9.5209352800e-02,9.5209352672e-02
9.4420839550e-02,9.4420839101e-02
9.3631462586e-02,9.3631462194e-02
9.2841228261e-02,9.2841228005e-02
9.2050142936e-02,9.2050142586e-02
9.1258212986e-02,9.1258212924e-02
9.0465444793e-02,9.0465444606e-02
8.9671844750e-02,8.9671844617e-02
8.8877419262e-02,8.8877419010e-02
8.8082174740e-02,8.8082174305e-02
8.7286117610e-02,8.7286117487e-02
8.6489254304e-02,8.6489254143e-02
8.5691591265e-02,8.5691591259e-02
8.4893134947e-02,8.4893134888e-02
8.4093891812e-02,8.4093891550e-02
8.3293868333e-02,8.3293868229e-02
8.2493070993e-02,8.2493070979e-02
8.1691506282e-02,8.1691505853e-02
8.0889180704e-02,8.0889180303e-02
8.0086100769e-02,8.0086100381e-02
7.9282272998e-02,7.9282272607e-02
7.8477703921e-02,7.8477703501e-02
7.7672400077e-02,7.7672400046e-02
7.6866368015e-02,7.6866367832e-02
7.6059614294e-02,7.6059613843e-02
7.5252145481e-02,7.5252145063e-02
7.4443968152e-02,7.4443968013e-02
7.3635088893e-02,7.3635088746e-02
7.2825514300e-02,7.2825514246e-02
7.2015250976e-02,7.2015250567e-02
7.1204305534e-02,7.1204305161e-02
7.0392684596e-02,7.0392684545e-02
6.9580394793e-02,6.9580394775e-02
6.8767442764e-02,6.8767442368e-02
6.7953835159e-02,6.7953834776e-02
6.7139578634e-02,6.7139578518e-02
6.6324679855e-02,6.6324679647e-02
6.5509145497e-02,6.5509145148e-02
6.4692982242e-02,6.4692982007e-02
6.3876196784e-02,6.3876196742e-02
6.3058795821e-02,6.3058795407e-02
6.2240786063e-02,6.2240785919e-02
6.1422174226e-02,6.1422173865e-02
6.0602967037e-02,6.0602966696e-02
5.9783171228e-02,5.9783170931e-02
5.8962793542e-02,5.8962793089e-02
5.8141840728e-02,5.8141840622e-02
