theta_deg,AF_dB_3120Hz,AF_dB_4000Hz,AF_dB_5000Hz,AF_dB_6240Hz,AF_dB_8000Hz
73.50,-21.635,-23.318,-27.433,-6.037,-26.341
74.00,-22.002,-24.076,-25.843,-5.247,-29.338
74.50,-22.404,-24.933,-24.603,-4.551,-34.102
75.00,-22.840,-25.903,-23.614,-3.937,-45.437
75.50,-23.311,-27.005,-22.815,-3.395,-41.249
76.00,-23.816,-28.268,-22.165,-2.917,-33.138
76.50,-24.358,-29.733,-21.636,-2.495,-29.229
77.00,-24.935,-31.470,-21.208,-2.125,-26.731
77.50,-25.551,-33.591,-20.864,-1.799,-24.965
78.00,-26.206,-36.317,-20.592,-1.514,-23.653
78.50,-26.902,-40.152,-20.382,-1.266,-22.655
79.00,-27.642,-46.797,-20.225,-1.050,-21.888
79.50,-28.429,-66.684,-20.114,-0.863,-21.300
80.00,-29.266,-45.569,-20.043,-0.703,-20.854
80.50,-30.157,-40.151,-20.007,-0.567,-20.523
81.00,-31.109,-36.993,-20.001,-0.451,-20.287
81.50,-32.128,-34.802,-20.020,-0.354,-20.130
82.00,-33.221,-33.156,-20.061,-0.274,-20.038
82.50,-34.400,-31.860,-20.119,-0.208,-20.002
83.00,-35.678,-30.809,-20.192,-0.154,-20.010
83.50,-37.071,-29.942,-20.275,-0.111,-20.056
84.00,-38.603,-29.216,-20.367,-0.078,-20.130
84.50,-40.306,-28.604,-20.463,-0.053,-20.226
85.00,-42.224,-28.086,-20.561,-0.034,-20.338
85.50,-44.426,-27.646,-20.658,-0.020,-20.459
86.00,-47.023,-27.274,-20.753,-0.011,-20.585
86.50,-50.219,-26.961,-20.842,-0.005,-20.709
87.00,-54.452,-26.701,-20.924,-0.002,-20.827
87.50,-61.038,-26.489,-20.997,-0.000,-20.935
88.00,-83.939,-26.319,-21.058,-0.000,-21.028
88.50,-64.772,-26.191,-21.108,-0.000,-21.104
89.00,-59.701,-26.100,-21.144,-0.001,-21.161
89.50,-57.656,-26.047,-21.166,-0.001,-21.195
90.00,-57.070,-26.029,-21.173,-0.001,-21.207
